FRX01A,"D.M. Lewis","Accelerators in Industry",
WEP093L,"R. Hohbach, E. Jensen, A.K. Mitra, R.L. Poirier","Higher Order Mode Damping of the CERN PS 40 MHz Cavity",
WEP094G,"H. Ahola, G. LeBlanc, T. Meinander, S. Werin","Operation of the MAX II Insertion Devices",
WEP094L,"F. Perez","A Proposed RF System for the LSB Storage Ring",
WEP095G,"H. Ahola, G. LeBlanc, T. Meinander, M. Ryynanen, J. Tahvnainen, S. Werin","Technical Description of the MAX II Undulators",
WEP095L,"K. Akai, N. Akasaka, E. Ezura, T. Kageyama, T. Kobayashi, H. Mizuno, F. Naito, H. Nakanishi, Y. Takeuchi, Y. Yamazaki","Higher-Order Mode HOM Characteristics of the Choke-Mode Cavity for the KEK B-Factory KEKB",
WEP100G,"D.H. Han, Y.S. Kim, M. Kwon","Coupling Impedance Measurement of Pohang Light Source Storage Ring Vacuum Components",
WEP101G,"J.Y. Huang, M. Kwon, H.J. Park, M.K. Park, M. Yoon, I.H. Yu","Instability Studies of the Pohang Light Source",
WEP102G,"J. Bengtsson, W. Joho, P. Marchand, L. Rivkin, A. Streun","Status of the Swiss Light Source Project SLS",
WEP103G,"T. Nakamura","The Broad-band Impedance of the SPring-8 Storage Ring",
WEP104G,"T. Nakamura","The Simulation Study of the Single Bunch Instabilities in the Spring-8 Storage Ring",
WEP105G,"H. Yokomizo, et al.","Linac and Booster Synchrotron for SPring-8 Injector",
WEP106G,"Yu.P. Bouzouloukov, M. Caplan, O.V. Chubar, A.S. Khlebnikov, N.S. Osmanov, A.V. Smirnov, S.V. Tolmachev, A. Tulupov","Beam Transport and Special Undulators Designed for High Power FELs",
WEP109G,"O.V. Chubar, A.S. Khlebnikov, N.V. Smolyakov, S.V. Tolmachev","A VUV-wiggler Scheme with Non-sinusoidal Magnetic Field Profile for High Energy Storage Rings",
WEP110G,"A. Filipchenko, A.S. Kalinin, V. Korchuganov, E. Levichev, V. Sajaev, V.V. Smaliuk, V. Ushakov, A. Valentinov, Yu. Yupinov","Closed Orbit Correction and Lattice Parameters Measurement at SIBERIA-2",
WEP111G,"C.J. Bocchetta, A. Carniel, A. Fabris, M. Ferianis, F. Iazzourene, E. Karantzoulis, R. Nagaoka, M. Svandrlik, L. Tosi, R.P. Walker, A. Wrulich","Beam Lifetime Measurements in ELETTRA",
WEP112G,"C.J. Bocchetta, D. Bulfone, F. Daclon, A. Fabris, M. Ferianis, F. Iazzourene, E. Karantzoulis, R. Nagaoka, R. Richter, M. Svandrlik, L. Tosi, R.P. Walker, A. Wrulich","Observation of Coupled Bunch Instabilities in ELETTRA",
WEP113G,"K.L.F. Bane, K. Kubo, P.B. Wilson","Compensating the Unequal Bunch Spacing in the NLC Damping Rings",
WEP115G,"A. Chao, F. Zimmermann","Diffraction Model of a Step-out Transition",
WEP116G,"H.P. Chang, J. Chen, K.T. Hsu, C.C. Kuo, Ch. Wang","Modelling Modulation and Dynamic Tuning of Insertion Devices at SRRC",
WEP117G,"T.C. Fan, C.S. Hwang, F.Y. Lin","The Dynamic Effect of the Vertical Field Corrector of the 1.8 T Wiggler",
WEP118G,"C.H. Chang, L.H. Chang, H.H. Chen, K.H. Chen, T.C. Fan, J.Y. Hsu, C.S. Hwang, F.Y. Lin, P.K. Tseng, T.M. Uen, Ch. Wang, S. Yeh","Field Characteristics of 9-Pole Adjustabale Phase Hybrid Undulator",
WEP119G,"H.P. Chang, C.C. Kuo, M.H. Wang, W.T. Weng","Beam Lifetime Investigations at SRRC",
WEP120G,"C.S. Hwang, J.C. Lee","Simulated Ion Motion in the SRRC Storage Ring",
WEP121G,"C.H. Chang, J.R. Chen, K.T. Hsu, C.C. Kuo, W.K. Lau, K.K. Lin, Y.C. Liu, G.H. Luo, Ch. Wang, W.T. Weng","Performance of the TLS at SRRC",
WEP122G,"I.C. Hsu, K.T. Hsu, C.C. Kuo, G. Lin, G.H. Luo","The Correlation Plot and Phenomena Analysis from Archives Data",
WEP123G,"L.H. Chang, P. Chang, K.T. Hsu, C.C. Kuo, W.K. Lau, Y.C. Liu, G.H. Luo, Ch. Wang","Measurement of Lattice Parameters during the Energy Ramping at Storage Ring",
WEP124G,"C.H. Chang, L.H. Chang, H.H. Chen, T.C. Fan, J.Y. Hsu, K.T. Hsu, C.S. Hwang, M.C. Lin, K.T. Pan, Ch. Wang","Conceptual Design for the SRRC Elliptically Polarizing Undulator EPU5.6. - Part I: Magnetic Configuration and Merit Function Optimization",
WEP125G,"C.H. Chang, L.H. Chang, H.H. Chen, T.C. Fan, J.Y. Hsu, K.T. Hsu, C.S. Hwang, M.C. Lin, K.T. Pan, Ch. Wang","Conceptual Design for the SRRC Elliptically Polarizing Undulator EPU5.6. - Part II: Magnetic Loading and Structure Deformation",
WEP126G,"H.P. Chang, J. Chen, K.T. Hsu, C.S. Hsue, C.C. Kuo, W.K. Lau, J.C. Lee, H.J. Tsai, M.H. Wang","Longitudinal Beam Instability Observation with a Streak Camera at SRRC",
WEP127G,"R. Bonifacio, R. Boyce, R. Carr, M. Cornacchia, L. De Salvo, R. Hettel, Y.C. Huang, S.K. Nam, H.D. Nuhn, E.T. Scharlemann, H. Wiedemann","A Test of Superradiance in an FEL Experiment",
WEP128G,"T. Hori, T. Takayama, H. Tsutsui","Compact Synchrotron Radiation Source 'AURORA-2' with 2.7 T Normal Conducting Bending Magnets",
WEP129G,"L. Schaechter","PASER: Particle Acceleration by Stimulated Emission of Radiation",
WEP130G,"R. Baartman, M. D'yachkov","'Binary Star' Instability",
WEP131G,"S. Koscielniak, H.J. Tran","Decoherence of Displaced Beam with Binomial Amplitude Distribution",
WEP132G,"S. Koscielniak","Stability Analysis of a Beam Loaded Double RF System",
WEP133G,"Z. Guo, Y. Li, G. Wang","Simulation of the Longitudinal Microwave Instabilities in the BEPC Storage Ring",
WEP135G,"M. Munoz","Linear Lattice for the LSB Storage Ring",
WEP136G,"M. Munoz, X. Queralt","Study of the Non-linear Behaviour of Particles and the Effect of ID in the LSB Storage Ring",
WEP137G,"X. Queralt","Preliminary ID Designs for the LSB Storage Ring",
WEP138G,"V. Calian, F. Scarlat","Acceleration Wakefield Modes in a Photonic Band Gap Structure",
WEP139G,"M. Negrazus, A. Peters","SAW - A Superconducting Asymmetric Multipole Wiggler at the DELTA Storage Ring",
WEP140G,"G. Doucas, M. Dumitru, M.F. Kimmitt, T. Kormann, G. Korschinek, C. Stan-Sion","A Photoelectron Source for the Study of Smith-Purcell Radiation",
WEP141G,"M. Arinaga, T. Kawakubo, T. Kobayashi, T. Kozawa, K. Nakajima, H. Nakanishi, Y. Nishida, A. Ogata, H. Shibata, T. Ueda, M. Uesaka, Y. Yoshida, N. Yugami","Plasma Wakefield Acceleration Driven by Multiple Bunches",
WEX01A,"R. Legg","Operating Experience at CEBAF",
WEX01T,"K. Wille","Initial Experience with DELTA",
WEX02A,"A. Richter","Operational Experience at the S-DALINAC",
WEX02T,"M. Eriksson","Novel Techniques used in Max II",
WEX03A,"R. Jameson","Discussion of Superconducting and Room-Temperature High-Intensity Ion Linacs",
WEX03T,"C.J. Bocchetta","Operational Experience with ELETTRA",
WEY01A,"J.M. Lagniel","Halos and Chaos in Space-charge Dominated Beams",
WEY01T,"L. Farvacque","SR-related Accelerator Physics Issues",
WEY02A,"D. Proch","High Field SC Cavities",
WEY02T,"L. Rivkin","Review of Future European Synchrotron Radiation Projects",
WEY03A,"A. Gamp","Recent Developments with Klystrons and Modulators",
WEY03T,"G. Decker","Synchrotron Radiation Facilities in the USA",
WEY04A,"V. Palmieri","New Superconductive Low Beta Structures",
WEZ01A,"E. Chiaveri","Large-Scale Industrial Production of Superconducting Cavities",
WEZ01T,"F. Castro, S. Romo","Spanish Industry in the Context of Manufacturing Accelerator Components",
WEZ02T,"Y. Jongen","Manufacturing of Electron Accelerators",
WEZ03T,"A.J. Stirling","Electron Beam Processing: a New Business and a New Industry",
WEZ04T,"N.R. Stevenson","Construction and Operation of Cyclotrons for Medical Isotopes",
WEZ05T,"T. Jones","Operation of PET Cyclotrons for Medical Imaging",
WEZ06T,"H.O. Moser","Industry and Synchrotron Radiation - Prospects using ANKA",
WEZ07T,"D. Boehne","The Role of Industry and Accelerator Laboratories in Future Particle Beam Facilities for Cancer Therapy",
