froaa2,"M. Blaskiewicz, V.H. Ranjbar [BNL, Upton, Long Island, New York, USA] ","Transverse Beam Transfer Functions via the Vlasov Equation",1427 1429,
wepho14,"J.T.M. Lyles, W.C. Barkley, J. Davis, A.C. Naranjo, P.D. Olivas, D. Rees, G. M. Sandoval, Jr. [LANL, Los Alamos, New Mexico, USA] D. Baca, R.E. Bratton, R.D. Summers [Compa Industries, Inc., Los Alamos, USA] ","System Considerations for 201.25 MHz RF System for LANSCE",963 965,
wepho15,"G.M. Kazakevich, R.P. Johnson [Muons, Inc, Illinois, USA] B. Chase, R.J. Pasquinelli, V.P. Yakovlev [Fermilab, Batavia, USA] ","Modeling of Magnetron Transmitter for the Project X CW 1 GEV Linac",966 968,
wepho16,"M.L. Neubauer, A. Dudas [Muons, Inc, Illinois, USA] R.A. Rimmer, H. Wang [JLAB, Newport News, Virginia, USA] ","An Efficient RF Source for JLab",969 971,
wepho17,"M.L. Neubauer, A. Dudas [Muons, Inc, Illinois, USA] J. Guo, R.A. Rimmer, R.S. Williams [JLAB, Newport News, Virginia, USA] ","High Power Co-Axial Coupler",972 974,
wepho18,"M.L. Neubauer, A. Dudas [Muons, Inc, Illinois, USA] A. Krasnykh [SLAC, Menlo Park, California, USA] ","S-Band Load Design for SLAC",975 977,
wepho19,"S.V. Shchelkunov [Yale University, Beam Physics Laboratory, New Haven, Connecticut, USA] J.L. Hirshfield [Yale University, Physics Department, New Haven, CT, USA] J.L. Hirshfield [Omega-P, Inc., New Haven, USA] S. Kazakov, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, USA] V.E. Teryaev [BINP SB RAS, Novosibirsk, Russia] ","High-Power Low-Voltage Multi-Beam Klystrons for ILC and Project-X",978 980,
wepma01,"C. Serpico, M. Dal Forno, A. Fabris [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Optimization of the SLED Phase Modulation Parameters of the FERMI Linac",981 983,
wepma02,"A. Fabris, P. Delgiusto, F. Gelmetti, M.M. Milloch, A. Milocco, F. Pribaz, C. Serpico, N. Sodomaco, R. Umer, L. Veljak [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Energy and Repetition Rate Upgrade of the S-Band RF System of the FERMI Linac",984 986,
wepma03,"L. Somaschini [INFN-Pisa, Pisa, Italy] A.J. DeMello, D. Li, S.P. Virostek [LBNL, Berkeley, California, USA] P.M. Hanlet [IIT, Chicago, Illinois, USA] A. Moretti, R.J. Pasquinelli, D.W. Peterson, Y. Torun [Fermilab, Batavia, USA] ","Tuner System Assembly and Tests for the 201-MHz MICE Cavity",987 989,
wepma05,"B. Mustapha, S.V. Kutsaev, P.N. Ostroumov [ANL, Argonne, USA] ","RF Design Optimization of a 176 MHz CW RFQ",990 992,
wepma07,"J. Norem [ANL, Argonne, USA] Z. Insepov, S. Nurkenov [Nano Synergy, Inc., Downers Grove, USA] A. Moretti [Fermilab, Batavia, USA] ","Modeling Vacuum Arcs in Linac Structures",993 995,
wepma08,"J.G. Power, M.E. Conde, D.S. Doran, W. Gai, C.-J. Jing [ANL, Argonne, USA] C.-J. Jing [Euclid TechLabs, LLC, Solon, Ohio, USA] E.E. Wisniewski [Illinois Institute of Technology, Chicago, Illinois, USA] ","Tuning, Conditioning, and Dark Current Measurements of the 1300 MHz NCRF Cavities at Argonne Wakefield Accelerator (AWA) Facility",996 998,
wepma09,"P. Ferguson, L.R. Ives, D. Marsden, M.E. Read [CCR, San Mateo, California, USA] J.E. Clayton [Varian Medical Systems, Oncology Systems, Palo Alto, USA] ","PPM Klystrons for Accelerator Systems",999 1000,
wepma10,"T. Sipahi, S. Biedron, S.V. Milton, N. Sipahi [CSU, Fort Collins, Colorado, USA] C. Adolphsen [SLAC, Menlo Park, California, USA] ","Passively Driven X-band RF Linac Structure",1001 1003,
wepma11,"D.J. Newsham, X. Chang, J.R. Thompson [Far-Tech, Inc., San Diego, California, USA] ","Progress Toward the Development of a Rapidly Tunable RF Cavity",1004 1006,
wepma12,"M.R. Jana, M. Chung, M.A. Leonova, A. Moretti, A.V. Tollestrup, K. Yonehara [Fermilab, Batavia, USA] D.L. Bowring [LBNL, Berkeley, California, USA] G. Flanagan [Muons, Inc, Illinois, USA] B.T. Freemire, Y. Torun [IIT, Chicago, Illinois, USA] ","Investigation of Breakdown Induced Surface Damage on 805 MHz Pill Box Cavity Interior Surfaces",1007 1009,
wepma13,"R.L. Madrak, D. Wildman [Fermilab, Batavia, USA] ","Design and High Power Testing of 52.809 MHz RF Cavities for Slip Stacking in the Fermilab Recycler",1010 1012,
wepma14,"R.L. Madrak, V.S. Kashikhin, A.V. Makarov, D. Wildman [Fermilab, Batavia, USA] ","Perpendicularly Biased YIG Tuners for the Fermilab Recycler 52.809 MHz RF Cavities",1013 1015,
wepma16,"Y. Torun [Illinois Institute of Technology, Chicago, IL, USA] D.L. Bowring, A.J. DeMello, D. Li, T.H. Luo, S.P. Virostek [LBNL, Berkeley, California, USA] P.M. Hanlet [IIT, Chicago, Illinois, USA] M.A. Leonova, A. Moretti, R.J. Pasquinelli, D.W. Peterson, R.P. Schultz, J.T. Volk [Fermilab, Batavia, USA] T.H. Luo [UMiss, University, Mississippi, USA] L. Somaschini [INFN-Pisa, Pisa, Italy] ","Assembly and Testing of the First 201-MHz MICE Cavity at Fermilab",1016 1018,
wepma19,"M.D. Hoff, A.J. DeMello, A.R. Lambert, D. Li, J.W. Staples, S.P. Virostek [LBNL, Berkeley, California, USA] ","Progress on the Fabrication of a CW Radio-frequency Quadrupole (RFQ) for the Project X Injector Experiment (PXIE)",1019 1021,
wepma20,"A.R. Lambert, M.D. Hoff, D. Li, J.W. Staples, S.P. Virostek [LBNL, Berkeley, California, USA] ","RF, Thermal, and Structural Finite Element Analysis of the Project X Injector Experiment (PXIE) CW Radio-frequency Quadrupole (RFQ)",1022 1024,
wepma21,"S.P. Virostek, A.J. DeMello, M.D. Hoff, A.R. Lambert, D. Li, J.W. Staples [LBNL, Berkeley, California, USA] ","Final Design of a CW Radio-frequency Quadrupole (RFQ) for the Project X Injector Experiment (PXIE)",1025 1027,
wepma22,"K.R. Shin [ORNL RAD, Oak Ridge, Tennessee, USA] M.S. Champion, Y.W. Kang [ORNL, Oak Ridge, Tennessee, USA] A.E. Fathy [University of Tennessee, Knoxville, Tennessee, USA] ","Investigation on Double Dipole Four-Vane RFQ Structure",1028 1030,
wepma23,"K.R. Shin [ORNL RAD, Oak Ridge, Tennessee, USA] M.S. Champion, Y.W. Kang [ORNL, Oak Ridge, Tennessee, USA] A.E. Fathy [University of Tennessee, Knoxville, Tennessee, USA] ","Design and Measurement of Double Gap Buncher Cavity Proposed for Reduction of X- ray Radiation",1031 1033,
wepma25,"N.M. Cook [Stony Brook University, Stony Brook, USA] J.M. Brennan, S. Peggs [BNL, Upton, Long Island, New York, USA] ","Harmonic Ratcheting for Fast Acceleration",1034 1036,
wepma26,"T.H. Luo, D.J. Summers [UMiss, University, Mississippi, USA] A.J. DeMello, D. Li, P. Pan, S.P. Virostek, M.S. Zisman [LBNL, Berkeley, California, USA] ","Multipacting Study for the RF Test of the MICE 201 MHz RF Cavity at Fermilab MTA",1037 1039,
wepma28,"Y. Jiang [Yale University, Beam Physics Laboratory, New Haven, Connecticut, USA] J.L. Hirshfield [Yale University, Physics Department, New Haven, CT, USA] J.L. Hirshfield [Omega-P, Inc., New Haven, USA] ","Multi-Harmonic Accelerating Cavities for RF Breakdown Studies",1040 1042,
wepsm01,"S. Sasaki, A. Miyamoto [HSRC, Higashi-Hiroshima, Japan] S. Qiao [SIMIT, Shanghai, People's Republic of China] ","Design Study of Knot-APPLE Undulator for PES-Beamline at SSRF",1043 1045,
wepsm02,"S.V. Kuzikov, A.V. Savilov, A.A. Vikharev [IAP/RAS, Nizhny Novgorod, Russia] ","Concepts for Short Period RF Undulators",1046 1048,
wepsm04,"S.V. Kuzikov, S. Mishakin, A.A. Vikharev [IAP/RAS, Nizhny Novgorod, Russia] ","Helical Self Focusing and Cooling Accelerating Structure",1049 1051,
wepsm05,"S.C. Leemann [MAX-lab, Lund, Sweden] L.O. Dallin [CLS, Saskatoon, Saskatchewan, Canada] ","Progress on Pulsed Multipole Injection for the MAX IV Storage Rings",1052 1054,
wepsm06,"K.C. Harkay, L.E. Boon, M. Borland, Y.-C. Chae, R.J. Dejus, J.C. Dooling, C.L. Doose, L. Emery, Y. Ivanyushenkov, M.S. Jaski, M. Kasa, S.H. Kim, R. Kustom, V. Sajaev, Y. Shiroyanagi, X. Sun [ANL, Argonne, USA] L.E. Boon [Purdue University, West Lafayette, Indiana, USA] ","Beam-Induced Heat Load Predictions and Measurements in the APS Superconducting Undulator",1055 1057,
wepsm07,"K.C. Harkay, L.E. Boon, M. Borland, L. Emery, R. Kustom, V. Sajaev, Y. Shiroyanagi, A. Xiao [ANL, Argonne, USA] L.E. Boon [Purdue University, West Lafayette, Indiana, USA] ","Beam-based Alignment of the First Superconducting Undulator at APS",1058 1060,
wepsm08,"M.S. Jaski, R.J. Dejus, B. Deriy, E. Gluskin, E.R. Moog, I. Vasserman, J. Wang, A. Xiao [ANL, Argonne, USA] ","Fast-Switching Variably Polarizing Undulator",1061 1063,
wepsm09,"M.S. Jaski, M. Abliz, R.J. Dejus, B. Deriy, E. Gluskin, E.R. Moog, I. Vasserman, A. Xiao [ANL, Argonne, USA] ","An Electromagnetic Variably Polarizing Quasi-Periodic Undulator",1064 1066,
wepsm10,"E.R. Moog, M. Abliz, R.J. Dejus, J.H. Grimmer, M.S. Jaski [ANL, Argonne, USA] ","Design of a 17.2-mm-Period Planar Undulator for the APS",1067 1069,
wepsm11,"A. Xiao, M. Abliz, B. Deriy, M.S. Jaski, M.L. Smith, I. Vasserman, J.Z. Xu [ANL, Argonne, USA] ","The Intermediate-Energy X-ray (IEX) Undulator Commissioning Results",1070 1072,
wepsm12,"A. Xiao, M. Borland, L. Emery, V. Sajaev [ANL, Argonne, USA] ","Non-linear Effects of Insertion Devices: Simulation and Experiment Results",1073 1075,
wepsm13,"A. Xiao, M. Borland, C. Yao [ANL, Argonne, USA] ","On-axis Injection Scheme for Ultra-Low-Emittance Light Sources",1076 1078,
wepsm14,"B.X. Yang, G. Decker, J.S. Downey, Y. Jaski, T.L. Kruy, S.-H. Lee, M. Ramanathan, F. Westferro [ANL, Argonne, USA] ","Advanced X-ray Beam Position Monitor System Design at the APS",1079 1081,
wepsm17,"J.E. Williams, S. Biedron, J.R. Harris, S.V. Milton [CSU, Fort Collins, Colorado, USA] S.V. Benson, P.E. Evtushenko, G. Neil, S. Zhang [JLAB, Newport News, Virginia, USA] ","Non-Invasive Beam Detection in a High-Average Power Electron Accelerator",1082 1084,
wepsm18,"C.E. Mitchell, J. Qiang [LBNL, Berkeley, California, USA] ","Investigation of Upstream Transient Wakefields due to Coherent Synchrotron Radiation in Bunch Compression Chicanes",1085 1087,
wetb1,"M. Bai [BNL, Upton, Long Island, New York, USA] ","Physics of Polarized Protons in Accelerators",728 733,
weya1,"F. Sannibale, K.M. Baptiste, C.W. Cork, J.N. Corlett, S. De Santis, L.R. Doolittle, J.A. Doyle, D. Filippetto, G.L. Harris, G. Huang, R. Huang, T.D. Kramasz, S. Kwiatkowski, R.E. Lellinger, V. Moroz, W.E. Norum, C. F. Papadopoulos, G.J. Portmann, H.J. Qian, J.W. Staples, M. Vinco, R.P. Wells, M.S. Zolotorev [LBNL, Berkeley, California, USA] R. Huang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Recent Results from the APEX Project at LBNL",709 713,
weya2,"A.P. Zhukov [ORNL, Oak Ridge, Tennessee, USA] ","Experience with the SNS Loss Monitoring and Machine Protection",714 718,
weyb2,"S.B. Felch [Susan Felch Consulting, Los Altos Hills, California, USA] M.I. Current [Current Scientific, San Jose, USA] M.C. Taylor [Taylor Consulting, USA] ","Ion Implantation for Semiconductor Devices: The Largest Use of Industrial Accelerators",740 744,
weyb3,"S. Sabharwal [IAEA, Vienna, Austria] ","Electron Beam Irradiation Applications",745 748,
wezaa2,"J. Hogan, M.A. Drury, L. Harwood, C. Hovater, M. Wiseman [JLAB, Newport News, Virginia, USA] A. Burrill [HZB, Berlin, Germany] C.E. Reece [JLab, Newport News, Virginia, USA] ","Overview and Lessons Learned of the Jefferson Lab Cryomodule Production for the CEBAF 12 GeV Upgrade",749 753,
wezb1,"R.D. Kephart, J.E. Anderson, C.A. Cooper, S. Henderson, C.W. Schmidt [Fermilab, Batavia, USA] ","The Illinois Accelerator Research Center",765 769,
wezba1,"S. Posen, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","SRF Cavities Beyond Niobium: Challenges and Potential",754 758,
wezbb1,"R.A. Baartman [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Optimal 3D Quadrupoles Shapes",773 777,
